ORG_NAME,target
MetricsDAO Academy,0xffdb4643c6bdbeed4a79c860d2a965fd2736e765
UTC,0x30599f99b06160b9cd8f448a1226add925df864e
FlippyFlip BOD,0x25f77e1a13e1bd4087ccc205f12dee0c3ae3b592
TalentDAO - Research Guild,0x41b0b75802b25fbc14e0157f9341473843c28e1e
mDAO Bounty Boyz,0x48ff4d06ceb0d69c958ee7856a2629bb568cffdc
MetricsDAO Academy,0x60105de82f69cda23e330e1b7d13b5782050877f
MetricsDAO Academy,0xf7861c0efebe8a0f8ba2f465f392168d4a3b0a56
MetricsDAO Academy,0x151b5d4131530da83223996b8e8b9e5e523fcb46
MetricsDAO Academy,0x3c45f4d373359d0cda42a742928b1f31f29f985a
MetricsDAO Academy,0xab60aae7d5333be47067730c81ab54e3225f5851
MetricsDAO Academy,0x51f4b2264476149a33f2943db22c0b2d84acd07c
MetricsDAO Academy,0x0f966ca63706ce468bdefaa5e955798cdada4a2d
OFAC Sanctions List,0xca0840578f57fe71599d29375e16783424023357
MetricsDAO Academy,0x31e81edfc08385860c3ffbbcf90de1ed18712799
Pine Challenger,0x021b8d868a589aad0dd1297dce136d31b23bdfe7
MetricsDAO Academy,0xefb0e2318a005ed2e2b00716c46c7ea4cc5a74d7
MetricsDAO Academy,0x5d97261ec8e26f2631df1ac8eb6212a090aec092
Dune Wizards,0x17c9b1eaf147f05cd07fe931f1bb30d22c6e16ef
MetricsDAO Academy,0x996296e6089dcae967b6a4e134ec3ac2febad73b
MetricsDAO Academy,0x3b4d48299b33ac47a78cda32c12b00a261743759
MetricsDAO Academy,0x9592c29fcb676dd65bad30c3a11b1c22d74846df
Lenstopia,0xca8a2b4a90c0f8ba8aca2c087024758a244a2a82
MetricsDAO Academy,0x1f57214c8dfa69490b5a5278cd86b6fedda01c07
MetricsDAO Academy,0x4740988434aab9d22d5e096f0551605be9f9637d
Dune Wizards,0xad6cfeeda169d7fd110f0d9780645aa5187cbc3b
MetricsDAO Academy,0xb2c66f28ef95c9dcaa147763ebcbea137266182a
MetricsDAO Academy,0x4157b5a336dfe42a9a9a5ced68adce6d6f165430
Taptive,0x70e5aca2bf3f8c13f0266f0b4668bdb138cfba93
Pine Citizen,0xa6eeaab3941d5ff9fdae787a42509b536cb0d7cb
MetricsDAO Academy,0x8fca6c78a177d89acc9c65d4d785cedc4acd896d
MetricsDAO Academy,0xa56cc2cc3fab1a0da80268ea83effbac3daaedc0
MetricsDAO Academy,0x29eb66d3f5fbc86373a59edafa32518c9816c874
Lenstopia,0xc6dd4016e224ef6f4b1b806a4f3533c52205e72d
TalentDAO - Research Guild,dailyritual
Alpha Badger,1000truedevs
MetricsDAO Academy,🇬🇧government
MetricsDAO Academy,niluh94
uh. cbxm.,0x038c4b2992581d099bae2f3c1a44ab22c6a27eba
MetricsDAO Academy,0xad51d8c2a3be3130978763f13105557996278fd1
MetricsDAO Academy,0x6c407f729e18ddfdce61c240a6c93df38fb79537
MetricsDAO Academy,0x4b09afcb9cc034812fce94031b0830d2edbb1b46
MetricsDAO Academy,0xb5d0164af828ee8ac5a20b926b3d4439fad50928
Pine Badges,0x5507963e2afd622bab95844f724e04ceb5789e49
MetricsDAO,0xa17e0e2732dde986c5a328277d3e922471f83a11
MetricsDAO Academy,0x2d5b1fa1505b172c25d2f5e0fd0186fa07e4e146
MetricsDAO Academy,0xec66b70c9483d639c5da3960431ffba8c90e3349
MetricsDAO Academy,0xdf800dbe7d3b4b35f63dea7a4f01c27a313d74c0
MetricsDAO Academy,0x19fde20744903805ba05e1522980ffff3545c1ec
OFAC Sanctions List,0xf67721a2d8f736e75a49fdd7fad2e31d8676542a
MetricsDAO Academy,0xc4be77187fb0ee4a6ad12fd4ea56a6865aa048fe
